name,ip_address,category,status,location,brand
DSI - Lobi Kanan,10.63.8.88,cctv,unknown,,
DSI - Lobi Kiri,10.63.8.89,cctv,unknown,,
DSI - Lobi Tengah,10.63.8.90,cctv,unknown,,
PTTA - Tower Library belakang,10.63.8.91,cctv,unknown,,
Tower CCTV - Library,10.63.8.107,cctv,unknown,,
CCTV 1,10.63.8.108,cctv,unknown,,
CCTV 2,10.63.8.109,cctv,unknown,,
CCTV 3,10.63.8.110,cctv,unknown,,
CCTV 4,10.63.8.111,cctv,unknown,,
Pintu Masuk,10.63.43.209,cctv,unknown,,
Pintu Keluar,10.63.43.210,cctv,unknown,,
FSKTM - Hadapan Makmal Grafik Animasi,10.65.8.1,cctv,unknown,,
FSKTM - Bilik Kebal,10.65.8.2,cctv,unknown,,
FSKTM - Lift,10.65.8.3,cctv,unknown,,
FSKTM - Lorong Bilik Server PTM,10.65.8.4,cctv,unknown,,
FSKTM - Lorong Studio Multimedia,10.65.8.6,cctv,unknown,,
FSKTM - Studio Multimedia Belakang,10.65.8.7,cctv,unknown,,
FSKTM - Makmal Animasi Grafik Belakang,10.65.8.8,cctv,unknown,,
FSKTM - Makmal Realiti Maya Belakang,10.65.8.9,cctv,unknown,,
FSKTM - Makmal Pintar Belakang,10.65.8.10,cctv,unknown,,
FSKTM - Lorong Infosys Belakang,10.65.8.11,cctv,unknown,,
FSKTM - Lift Aras 1,10.65.8.12,cctv,unknown,,
FSKTM - Lorong Makmal Kejuruteraan Perisian,10.65.8.13,cctv,unknown,,
FSKTM - Lorong Pusat Data,10.65.8.14,cctv,unknown,,
FSKTM - Bilik Server ICT,10.65.8.15,cctv,unknown,,
FSKTM - Makmal Kejuruteraan Perisian,10.65.8.16,cctv,unknown,,
FSKTM - Makmal Pembangunan Perisian Belakang,10.65.8.17,cctv,unknown,,
FSKTM - Makmal Pengaturcaraan Belakang,10.65.8.18,cctv,unknown,,
FSKTM - Lift Aras 2,10.65.8.19,cctv,unknown,,
FSKTM - Lorong Hadapan Bilik Tutorial,10.65.8.20,cctv,unknown,,
FSKTM - Lorong Cisco,10.65.8.21,cctv,unknown,,
FSKTM - Lorong Makmal Keselamatan Komputer,10.65.8.22,cctv,unknown,,
FSKTM - Makmal Sistem Komputer Belakang (ARUBA),10.65.8.23,cctv,unknown,,
FSKTM - Makmal Digital Forensik Belakang,10.65.8.24,cctv,unknown,,
FSKTM - Makmal Cisco Belakang,10.65.8.25,cctv,unknown,,
FSKTM - Makmal Keselamatan Komputer Belakang,10.65.8.26,cctv,unknown,,
FSKTM - Makmal Penyelidikan Belakang,10.65.8.27,cctv,unknown,,
FSKTM - Lift B Aras 3,10.65.8.28,cctv,unknown,,
FSKTM - Lorong Auditorium,10.65.8.29,cctv,unknown,,
FSKTM - Lorong Makmal Teknologi Web,10.65.8.30,cctv,unknown,,
FSKTM - Makmal Pengaturcaraan Internet Belakang,10.65.8.31,cctv,unknown,,
FSKTM - Auditorium Belakang,10.65.8.32,cctv,unknown,,
FSKTM - Makmal Teknologi Web Belakang,10.65.8.34,cctv,unknown,,
FSKTM - Lift Aras 4,10.65.8.35,cctv,unknown,,
FSKTM - Lorong Makmal Perisian,10.65.8.36,cctv,unknown,,
FSKTM - Ruang Membaca Pelajar Aras 1,10.65.8.37,cctv,unknown,,
FSKTM - Lift B Aras 5,10.65.8.38,cctv,unknown,,
FSKTM - Makmal Infosys Aras 1,10.65.8.39,cctv,unknown,,
FSKTM - Lift A Aras 6,10.65.8.40,cctv,unknown,,
FSKTM - Lift Aras 7,10.65.8.41,cctv,unknown,,
FSKTM - Lift B Aras 7,10.65.8.42,cctv,unknown,,
Biodesel Aras 1 Kiri,10.65.8.80,cctv,unknown,,
Biodesel Aras 1 Kanan,10.65.8.81,cctv,unknown,,
Biodese Aras 1 Tangga,10.65.8.82,cctv,unknown,,
Biodesel 4 Bawah,10.65.8.83,cctv,unknown,,
FSKTM - Parkir 2,10.65.8.84,cctv,unknown,,
Biodesel Parkir,10.65.8.85,cctv,unknown,,
FSKTM - Pigeon Hole Pejabat Am,10.65.8.86,cctv,unknown,,
FSKTM - Pintu Luar Pejabat,10.65.8.87,cctv,unknown,,
FSKTM - Lorong Ruang Membaca Pelajar,10.65.8.88,cctv,unknown,,
FSKTM - Lorong Bilik Seminar 2,10.65.8.90,cctv,unknown,,
FSKTM - Lorong Tengah Aras 2,10.65.8.91,cctv,unknown,,
FSKTM - Bilik Mesyuarat Pengurusan,10.65.8.92,cctv,unknown,,
FSKTM - Lorong Pensyarah Belakang,10.65.8.93,cctv,unknown,,
FSKTM - Lorong Tengah Aras 3,10.65.8.94,cctv,unknown,,
FSKTM - Lorong Bilik Tutorial,10.65.8.95,cctv,unknown,,
FSKTM - Lorong Pensyarah Depan Aras 4,10.65.8.96,cctv,unknown,,
FSKTM - Lorong Pensyarah Belakang Aras 4,10.65.8.97,cctv,unknown,,
FSKTM - Lorong Pensyarah Depan Aras 5,10.65.8.98,cctv,unknown,,
FSKTM - Lorong Pensyarah Belakang Aras 5,10.65.8.99,cctv,unknown,,
FSKTM - Lorong Pensyarah Depan Aras 6,10.65.8.100,cctv,unknown,,
FSKTM - Lorong Pensyarah Belakang Aras 6,10.65.8.101,cctv,unknown,,
FSKTM - Lorong Pensyarah Depan Aras 7,10.65.8.102,cctv,unknown,,
FSKTM - BIlik Mesyuarat Utama,10.65.8.103,cctv,unknown,,
FPTV - Bilik Fail Sulit Pejabat,10.66.8.1,cctv,unknown,,
FPTV - Blok A Lift Ground,10.66.8.2,cctv,unknown,,
FPTV - Blok A Lift Tingkat 1,10.66.8.3,cctv,unknown,,
